,FLTNUM,FLTDAT,BCLS,TARIF_RUB
77,0,2019-01-27,J,17500.0
78,0,2019-01-31,Y,6000.0
79,0,2019-02-01,J,23500.0
80,0,2019-02-07,J,23500.0
81,0,2019-02-08,J,17500.0
82,0,2019-02-11,J,17500.0
83,0,2019-02-14,J,17500.0
84,0,2019-02-15,J,23500.0
85,0,2019-02-17,J,23500.0
86,0,2019-02-21,J,17500.0
87,0,2019-02-23,J,17500.0
88,0,2019-02-25,J,23500.0
89,0,2019-02-28,J,18166.666
90,0,2019-03-03,J,17500.0
91,0,2019-03-12,J,17500.0
92,0,2019-03-15,J,17500.0
93,0,2019-03-17,J,22000.0
94,0,2019-03-18,J,17500.0
95,0,2019-03-24,J,17500.0
96,0,2019-03-31,J,22000.0
97,0,2019-04-03,Y,7950.0
98,0,2019-04-16,J,23500.0
99,0,2019-04-19,J,23500.0
100,0,2019-05-01,Y,6000.0
101,0,2019-05-05,J,17500.0
102,0,2019-05-06,J,17500.0
103,0,2019-05-12,Y,6000.0
104,0,2019-05-20,J,17500.0
105,0,2019-06-15,Y,6000.0
106,0,2019-06-28,J,17500.0
107,0,2019-06-29,Y,6000.0
108,0,2019-07-08,Y,6000.0
109,0,2019-07-18,J,17500.0
110,0,2019-07-24,J,17500.0
111,0,2019-07-28,J,17500.0
112,0,2019-08-08,J,17500.0
113,0,2019-08-16,J,17500.0
114,0,2019-08-25,J,17500.0
115,0,2019-08-31,Y,6000.0
116,0,2019-09-11,J,17500.0
117,0,2019-09-15,J,17500.0
118,0,2019-09-24,J,17500.0
119,0,2019-09-29,J,17500.0
120,0,2019-10-01,J,17500.0
121,0,2019-10-08,J,17500.0
122,0,2019-11-02,Y,6000.0
123,0,2019-11-20,J,17500.0
124,0,2019-12-08,J,17500.0
125,0,2019-12-30,Y,6000.0
126,1116,2019-03-31,D,39499.68
127,1116,2019-03-31,E,2822.223
128,1116,2019-03-31,G,5048.077
129,1116,2019-03-31,N,1140.6924
130,1116,2019-03-31,O,0.0
131,1116,2019-03-31,Q,4499.88
132,1116,2019-03-31,R,524.2519
133,1116,2019-03-31,T,2727.2654
134,1116,2019-04-01,E,2928.105
135,1116,2019-04-01,G,5000.0
136,1116,2019-04-01,N,1201.3391
137,1116,2019-04-01,R,485.7143
138,1116,2019-04-01,T,2357.0085
139,1116,2019-04-01,X,0.0
140,1116,2019-04-02,C,36766.05
141,1116,2019-04-02,E,2712.315
142,1116,2019-04-02,N,1437.8419
143,1116,2019-04-02,O,6300.0
144,1116,2019-04-02,Q,9195.0
145,1116,2019-04-02,R,533.3333
146,1116,2019-04-02,T,7350.0
147,1116,2019-04-03,E,3058.68
148,1116,2019-04-03,N,1950.1707
149,1116,2019-04-03,O,0.0
150,1116,2019-04-03,Q,5715.052
151,1116,2019-04-03,R,540.4633
152,1116,2019-04-03,T,4083.6243
153,1116,2019-04-04,D,27656.25
154,1116,2019-04-04,E,4100.994
155,1116,2019-04-04,H,12499.83
156,1116,2019-04-04,N,1914.5228
157,1116,2019-04-04,O,0.0
158,1116,2019-04-04,Q,4900.7344
159,1116,2019-04-04,R,500.0
160,1116,2019-04-04,T,3776.7942
161,1116,2019-04-04,X,0.0
162,1116,2019-04-05,D,22125.0
163,1116,2019-04-05,E,3269.823
164,1116,2019-04-05,H,8925.0625
165,1116,2019-04-05,K,11000.27
166,1116,2019-04-05,L,7080.1
167,1116,2019-04-05,M,21000.0
168,1116,2019-04-05,N,1302.6879
169,1116,2019-04-05,O,0.0
170,1116,2019-04-05,Q,4952.093
171,1116,2019-04-05,R,526.57715
172,1116,2019-04-05,T,3124.964
173,1116,2019-04-05,U,13499.99
174,1116,2019-04-05,X,0.0
175,1116,2019-04-06,C,4195.0
176,1116,2019-04-06,E,2454.3079
177,1116,2019-04-06,N,1797.5
178,1116,2019-04-06,Q,4880.1475
179,1116,2019-04-06,R,550.0
180,1116,2019-04-06,T,2650.092
181,1116,2019-04-06,X,0.0
182,1116,2019-04-07,E,2666.6052
183,1116,2019-04-07,N,1655.729
184,1116,2019-04-07,Q,6792.0
185,1116,2019-04-07,R,472.1087
186,1116,2019-04-07,T,2919.0854
187,1116,2019-04-07,X,0.0
188,1116,2019-04-08,E,2310.6226
189,1116,2019-04-08,I,0.0
190,1116,2019-04-08,N,1181.8359
191,1116,2019-04-08,R,533.3333
192,1116,2019-04-08,T,4267.7773
193,1116,2019-04-09,D,31418.0
194,1116,2019-04-09,E,3271.303
195,1116,2019-04-09,N,1552.1464
196,1116,2019-04-09,O,5700.0
197,1116,2019-04-09,R,500.0
198,1116,2019-04-09,X,0.0
199,1116,2019-04-10,E,1854.55
200,1116,2019-04-10,N,1579.4958
201,1116,2019-04-10,O,0.0
202,1116,2019-04-11,C,4257.5
203,1116,2019-04-11,E,2234.8423
204,1116,2019-04-11,H,0.0
205,1116,2019-04-11,N,1434.4045
206,1116,2019-04-11,O,0.0
207,1116,2019-04-11,Q,3374.72
208,1116,2019-04-11,R,508.97076
209,1116,2019-04-11,T,4050.0
210,1116,2019-04-11,X,0.0
211,1116,2019-04-12,D,28172.5
212,1116,2019-04-12,E,3284.9688
213,1116,2019-04-12,N,1737.572
214,1116,2019-04-12,Q,5711.4004
215,1116,2019-04-12,R,595.92
216,1116,2019-04-12,T,2999.86
217,1116,2019-04-12,Y,0.0
218,1116,2019-04-13,D,29500.0
219,1116,2019-04-13,E,3059.6428
220,1116,2019-04-13,N,1618.1589
221,1116,2019-04-13,Q,8716.58
222,1116,2019-04-13,R,514.72
223,1116,2019-04-13,T,4468.5156
224,1116,2019-04-13,X,0.0
225,1116,2019-04-14,D,32722.5
226,1116,2019-04-14,E,4311.9688
227,1116,2019-04-14,J,72600.02
228,1116,2019-04-14,L,8699.912
229,1116,2019-04-14,N,1671.7175
230,1116,2019-04-14,Q,4751.976
231,1116,2019-04-14,R,500.0
232,1116,2019-04-14,T,3967.8643
233,1116,2019-04-14,X,0.0
234,1116,2019-04-14,Y,34140.0
235,1116,2019-04-15,C,54000.0
236,1116,2019-04-15,D,35550.31
237,1116,2019-04-15,E,3286.6086
238,1116,2019-04-15,J,65999.93
239,1116,2019-04-15,L,5755.77
240,1116,2019-04-15,M,1903.775
241,1116,2019-04-15,N,1988.9437
242,1116,2019-04-15,Q,4500.25
243,1116,2019-04-15,R,729.27
244,1116,2019-04-15,T,2981.4727
245,1116,2019-04-16,C,4195.0
246,1116,2019-04-16,D,32450.0
247,1116,2019-04-16,E,2000.26
248,1116,2019-04-16,L,6705.154
249,1116,2019-04-16,N,2594.2188
250,1116,2019-04-16,O,7000.05
251,1116,2019-04-16,R,503.85248
252,1116,2019-04-16,T,5342.6533
253,1116,2019-04-16,X,0.0
254,1116,2019-04-17,C,36029.11
255,1116,2019-04-17,D,35478.48
256,1116,2019-04-17,E,2350.7646
257,1116,2019-04-17,L,7336.6655
258,1116,2019-04-17,N,1771.6611
259,1116,2019-04-17,O,0.0
260,1116,2019-04-17,Q,5448.2783
261,1116,2019-04-17,R,500.0
262,1116,2019-04-17,T,3713.3755
263,1116,2019-04-18,E,3929.3599
264,1116,2019-04-18,N,2467.432
265,1116,2019-04-18,O,0.0
266,1116,2019-04-18,Q,6431.25
267,1116,2019-04-18,R,500.0
268,1116,2019-04-18,T,3034.1582
269,1116,2019-04-19,E,2414.3323
270,1116,2019-04-19,L,8299.955
271,1116,2019-04-19,M,1875.0
272,1116,2019-04-19,N,1837.3431
273,1116,2019-04-19,O,10000.0
274,1116,2019-04-19,Q,4949.925
275,1116,2019-04-19,T,3618.1802
276,1116,2019-04-19,X,0.0
277,1116,2019-04-20,D,29231.818
278,1116,2019-04-20,E,3195.457
279,1116,2019-04-20,H,6239.53
280,1116,2019-04-20,N,1656.0309
281,1116,2019-04-20,O,0.0
282,1116,2019-04-20,Q,5933.2964
283,1116,2019-04-20,R,600.0
284,1116,2019-04-20,T,3601.54
285,1116,2019-04-20,X,0.0
286,1116,2019-04-21,D,26683.42
287,1116,2019-04-21,E,2818.3699
288,1116,2019-04-21,N,1625.9995
289,1116,2019-04-21,O,2942.5967
290,1116,2019-04-21,Q,5618.632
291,1116,2019-04-21,R,533.3333
292,1116,2019-04-21,T,4458.232
293,1116,2019-04-21,X,0.0
294,1116,2019-04-22,D,31466.666
295,1116,2019-04-22,E,3537.3687
296,1116,2019-04-22,H,9375.996
297,1116,2019-04-22,I,18570.68
298,1116,2019-04-22,L,6938.6636
299,1116,2019-04-22,M,3258.84
300,1116,2019-04-22,N,2094.5093
301,1116,2019-04-22,Q,6855.169
302,1116,2019-04-22,R,500.0
303,1116,2019-04-22,T,5623.0767
304,1116,2019-04-22,X,0.0
305,1116,2019-04-23,E,2897.72
306,1116,2019-04-23,L,8700.02
307,1116,2019-04-23,M,1875.0
308,1116,2019-04-23,N,1316.0776
309,1116,2019-04-23,O,0.0
310,1116,2019-04-23,Q,4199.098
311,1116,2019-04-23,R,471.42856
312,1116,2019-04-23,T,2999.78
313,1116,2019-04-23,X,0.0
314,1116,2019-04-24,H,10000.0
315,1116,2019-04-24,I,23844.13
316,1116,2019-04-24,N,1960.5779
317,1116,2019-04-24,Q,5241.8613
318,1116,2019-04-24,R,600.0
319,1116,2019-04-24,T,2502.5637
320,1116,2019-04-25,E,2334.251
321,1116,2019-04-25,H,8500.96
322,1116,2019-04-25,I,0.0
323,1116,2019-04-25,N,1657.3052
324,1116,2019-04-25,O,0.0
325,1116,2019-04-25,T,3600.0
326,1116,2019-04-25,X,0.0
327,1116,2019-04-26,C,30000.076
328,1116,2019-04-26,D,29500.0
329,1116,2019-04-26,E,2508.7056
330,1116,2019-04-26,H,6831.28
331,1116,2019-04-26,M,11815.12
332,1116,2019-04-26,N,1698.0786
333,1116,2019-04-26,O,0.0
334,1116,2019-04-26,Q,6396.6343
335,1116,2019-04-26,T,5258.4697
336,1116,2019-04-27,D,35400.0
337,1116,2019-04-27,H,9140.219
338,1116,2019-04-27,L,8641.382
339,1116,2019-04-27,O,0.0
340,1116,2019-04-27,Q,5658.421
341,1116,2019-04-27,T,3298.2314
342,1116,2019-04-27,X,0.0
343,1116,2019-04-28,E,3350.0
344,1116,2019-04-28,H,12150.088
345,1116,2019-04-28,I,18087.51
346,1116,2019-04-28,L,7954.7524
347,1116,2019-04-28,N,999.82
348,1116,2019-04-28,O,0.0
349,1116,2019-04-28,Q,5589.246
350,1116,2019-04-28,T,8100.1157
351,1116,2019-04-28,U,18000.14
352,1116,2019-04-29,D,26550.0
353,1116,2019-04-29,E,4023.1177
354,1116,2019-04-29,L,8416.707
355,1116,2019-04-29,O,0.0
356,1116,2019-04-29,Q,5243.1475
357,1116,2019-04-29,T,4404.7734
358,1116,2019-04-30,C,54000.0
359,1116,2019-04-30,D,29500.0
360,1116,2019-04-30,L,8317.387
361,1116,2019-04-30,M,0.0
362,1116,2019-04-30,O,0.0
363,1116,2019-04-30,Q,5255.917
364,1116,2019-04-30,T,5000.08
365,1116,2019-04-30,X,0.0
366,1116,2019-05-01,D,29500.0
367,1116,2019-05-01,E,1669.782
368,1116,2019-05-01,H,9658.104
369,1116,2019-05-01,J,0.0
370,1116,2019-05-01,K,15402.27
371,1116,2019-05-01,L,5500.1265
372,1116,2019-05-01,N,1039.8928
373,1116,2019-05-01,Q,5431.0356
374,1116,2019-05-01,U,14437.48
375,1116,2019-05-01,X,0.0
376,1116,2019-05-01,Y,32450.3
377,1116,2019-05-02,C,54000.0
378,1116,2019-05-02,D,31712.662
379,1116,2019-05-02,E,3071.5
380,1116,2019-05-02,H,9394.547
381,1116,2019-05-02,K,15399.84
382,1116,2019-05-02,L,10700.04
383,1116,2019-05-02,M,19100.09
384,1116,2019-05-02,N,1456.5
385,1116,2019-05-02,Q,3915.0393
386,1116,2019-05-02,T,6999.87
387,1116,2019-05-02,U,19800.0
388,1116,2019-05-02,X,0.0
389,1116,2019-05-03,D,29500.0
390,1116,2019-05-03,E,2852.462
391,1116,2019-05-03,L,4560.34
392,1116,2019-05-03,M,9451.13
393,1116,2019-05-03,N,1986.1111
394,1116,2019-05-03,Q,6863.14
395,1116,2019-05-03,T,4205.5903
396,1116,2019-05-03,X,0.0
397,1116,2019-05-04,D,29499.88
398,1116,2019-05-04,E,3527.78
399,1116,2019-05-04,L,15240.0
400,1116,2019-05-04,N,1747.5941
401,1116,2019-05-04,T,4928.6343
402,1116,2019-05-04,X,0.0
403,1116,2019-05-05,E,3151.7058
404,1116,2019-05-05,H,8858.92
405,1116,2019-05-05,N,1409.0242
406,1116,2019-05-05,O,3675.08
407,1116,2019-05-05,Q,9295.0
408,1116,2019-05-05,T,7070.2197
409,1116,2019-05-05,U,10695.37
410,1116,2019-05-05,X,0.0
411,1116,2019-05-06,D,29545.29
412,1116,2019-05-06,E,2573.618
413,1116,2019-05-06,L,8700.28
414,1116,2019-05-06,M,1885.0
415,1116,2019-05-06,N,1694.6406
416,1116,2019-05-06,Q,4500.0
417,1116,2019-05-06,T,7766.677
418,1116,2019-05-06,U,10748.04
419,1116,2019-05-07,D,35400.0
420,1116,2019-05-07,E,4610.031
421,1116,2019-05-07,N,1650.34
422,1116,2019-05-07,Q,4775.17
423,1116,2019-05-07,T,5175.068
424,1116,2019-05-07,X,0.0
425,1116,2019-05-08,D,35400.0
426,1116,2019-05-08,E,3806.1763
427,1116,2019-05-08,N,1699.995
428,1116,2019-05-08,X,0.0
429,1116,2019-05-09,C,4226.25
430,1116,2019-05-09,D,29500.19
431,1116,2019-05-09,E,3494.451
432,1116,2019-05-09,L,10199.87
433,1116,2019-05-09,N,1869.9099
434,1116,2019-05-09,O,0.0
435,1116,2019-05-09,Q,4855.763
436,1116,2019-05-09,T,3656.3125
437,1116,2019-05-09,X,0.0
438,1116,2019-05-10,C,3736.6667
439,1116,2019-05-10,E,1999.77
440,1116,2019-05-10,N,1241.5325
441,1116,2019-05-10,Q,0.0
442,1116,2019-05-10,T,5000.11
443,1116,2019-05-11,D,29499.88
444,1116,2019-05-11,E,4233.064
445,1116,2019-05-11,N,1920.7983
446,1116,2019-05-11,T,3739.548
447,1116,2019-05-12,E,3146.83
448,1116,2019-05-12,L,6350.0
449,1116,2019-05-12,N,2125.6216
450,1116,2019-05-12,O,5400.0
451,1116,2019-05-12,Q,4192.1367
452,1116,2019-05-12,T,5802.422
453,1116,2019-05-13,D,29500.0
454,1116,2019-05-13,E,3747.4924
455,1116,2019-05-13,M,1900.0
456,1116,2019-05-13,N,1767.5593
457,1116,2019-05-13,O,0.0
458,1116,2019-05-13,T,5090.54
459,1116,2019-05-13,X,0.0
460,1116,2019-05-14,B,15225.24
461,1116,2019-05-14,D,23620.14
462,1116,2019-05-14,E,4131.299
463,1116,2019-05-14,K,8830.79
464,1116,2019-05-14,L,6388.8896
465,1116,2019-05-14,M,1900.0
466,1116,2019-05-14,N,2193.3906
467,1116,2019-05-14,Q,9780.0
468,1116,2019-05-14,T,6479.61
469,1116,2019-05-14,X,0.0
470,1116,2019-05-14,Y,15715.96
471,1116,2019-05-15,E,3635.8464
472,1116,2019-05-15,K,10029.07
473,1116,2019-05-15,M,0.0
474,1116,2019-05-15,N,1561.9048
475,1116,2019-05-15,O,3420.0
476,1116,2019-05-15,Q,3127.245
477,1116,2019-05-15,T,4953.59
478,1116,2019-05-15,X,0.0
479,1116,2019-05-16,D,39499.96
480,1116,2019-05-16,E,2919.8667
481,1116,2019-05-16,H,9834.75
482,1116,2019-05-16,L,9450.245
483,1116,2019-05-16,M,1900.0
484,1116,2019-05-16,N,2412.1287
485,1116,2019-05-16,T,4119.535
486,1116,2019-05-16,X,0.0
487,1116,2019-05-17,D,32570.0
488,1116,2019-05-17,E,2182.5898
489,1116,2019-05-17,N,2110.613
490,1116,2019-05-17,O,0.0
491,1116,2019-05-17,T,4646.754
492,1116,2019-05-17,X,0.0
493,1116,2019-05-18,D,35400.0
494,1116,2019-05-18,E,3024.3977
495,1116,2019-05-18,M,1900.0
496,1116,2019-05-18,N,1582.095
497,1116,2019-05-18,O,0.0
498,1116,2019-05-18,Q,6480.1953
499,1116,2019-05-18,T,4416.69
500,1116,2019-05-18,X,0.0
501,1116,2019-05-19,D,29500.0
502,1116,2019-05-19,E,2401.0737
503,1116,2019-05-19,N,1613.7192
504,1116,2019-05-19,R,2318.75
505,1116,2019-05-20,E,2833.32
506,1116,2019-05-20,M,1535.0
507,1116,2019-05-20,N,2242.1682
508,1116,2019-05-20,O,0.0
509,1116,2019-05-20,Q,7025.2197
510,1116,2019-05-20,R,1864.58
511,1116,2019-05-20,T,6083.237
512,1116,2019-05-21,E,3909.3271
513,1116,2019-05-21,L,12700.0
514,1116,2019-05-21,M,1885.0
515,1116,2019-05-21,N,1639.8661
516,1116,2019-05-21,T,3901.6611
517,1116,2019-05-21,X,0.0
518,1116,2019-05-22,D,35945.0
519,1116,2019-05-22,E,4024.4043
520,1116,2019-05-22,L,8526.707
521,1116,2019-05-22,N,903.34924
522,1116,2019-05-22,O,0.0
523,1116,2019-05-22,Q,7317.47
524,1116,2019-05-22,T,5050.998
525,1116,2019-05-22,X,0.0
526,1116,2019-05-23,D,31466.666
527,1116,2019-05-23,E,4070.555
528,1116,2019-05-23,N,1543.0686
529,1116,2019-05-23,R,1133.3575
530,1116,2019-05-23,T,6500.26
531,1116,2019-05-24,E,2621.7395
532,1116,2019-05-24,K,5084.565
533,1116,2019-05-24,N,1588.5262
534,1116,2019-05-24,O,0.0
535,1116,2019-05-24,Q,3558.7446
536,1116,2019-05-24,R,937.5
537,1116,2019-05-24,T,5083.3174
538,1116,2019-05-25,D,35400.0
539,1116,2019-05-25,E,2848.6472
540,1116,2019-05-25,M,0.0
541,1116,2019-05-25,N,1289.1925
542,1116,2019-05-25,Q,6862.8286
543,1116,2019-05-25,T,5107.4517
544,1116,2019-05-25,X,0.0
545,1116,2019-05-26,E,3824.7
546,1116,2019-05-26,L,11577.468
547,1116,2019-05-26,N,1811.1022
548,1116,2019-05-26,O,0.0
549,1116,2019-05-26,Q,7935.767
550,1116,2019-05-26,R,954.87
551,1116,2019-05-26,T,4548.702
552,1116,2019-05-26,X,0.0
553,1116,2019-05-27,D,31466.666
554,1116,2019-05-27,E,2579.07
555,1116,2019-05-27,I,0.0
556,1116,2019-05-27,L,8700.19
557,1116,2019-05-27,N,1637.003
558,1116,2019-05-27,O,0.0
559,1116,2019-05-27,Q,6772.9355
560,1116,2019-05-27,R,1000.0
561,1116,2019-05-27,T,5327.115
562,1116,2019-05-28,D,29500.0
563,1116,2019-05-28,E,3388.6333
564,1116,2019-05-28,H,15300.11
565,1116,2019-05-28,L,10200.28
566,1116,2019-05-28,N,1972.648
567,1116,2019-05-28,O,0.0
568,1116,2019-05-28,Q,5724.1133
569,1116,2019-05-28,R,795.73663
570,1116,2019-05-28,T,5101.5425
571,1116,2019-05-28,X,0.0
572,1116,2019-05-29,E,2796.2349
573,1116,2019-05-29,K,8763.1
574,1116,2019-05-29,M,11575.34
575,1116,2019-05-29,N,1471.995
576,1116,2019-05-29,O,0.0
577,1116,2019-05-29,Q,6230.366
578,1116,2019-05-29,T,5799.97
579,1116,2019-05-30,D,29500.0
580,1116,2019-05-30,E,3070.9233
581,1116,2019-05-30,G,5375.0
582,1116,2019-05-30,H,11302.13
583,1116,2019-05-30,L,10440.0
584,1116,2019-05-30,M,14796.25
585,1116,2019-05-30,Q,6279.711
586,1116,2019-05-30,R,990.9091
587,1116,2019-05-30,T,4901.9966
588,1116,2019-05-30,U,19800.0
589,1116,2019-05-30,X,0.0
590,1116,2019-05-31,B,25583.393
591,1116,2019-05-31,D,29499.902
592,1116,2019-05-31,H,13560.0
593,1116,2019-05-31,L,8890.588
594,1116,2019-05-31,M,1766.6666
595,1116,2019-05-31,N,3700.0
596,1116,2019-05-31,Q,7234.725
597,1116,2019-05-31,T,5930.5576
598,1116,2019-05-31,X,0.0
599,1116,2019-05-31,Y,17974.86
600,1116,2019-06-01,E,3406.0518
601,1116,2019-06-01,H,12806.59
602,1116,2019-06-01,K,15400.28
603,1116,2019-06-01,O,7350.16
604,1116,2019-06-01,Q,5799.5845
605,1116,2019-06-01,T,5136.2856
606,1116,2019-06-01,U,18000.29
607,1116,2019-06-02,E,3617.373
608,1116,2019-06-02,L,8772.844
609,1116,2019-06-02,M,1875.0
610,1116,2019-06-02,N,1700.0
611,1116,2019-06-02,Q,6472.187
612,1116,2019-06-02,T,4999.98
613,1116,2019-06-02,X,0.0
614,1116,2019-06-03,D,35400.0
615,1116,2019-06-03,E,3586.6184
616,1116,2019-06-03,H,12633.417
617,1116,2019-06-03,L,8884.88
618,1116,2019-06-03,M,19100.12
619,1116,2019-06-03,N,1558.3334
620,1116,2019-06-03,Q,6082.445
621,1116,2019-06-03,T,3805.6768
622,1116,2019-06-03,X,0.0
623,1116,2019-06-04,E,4253.4736
624,1116,2019-06-04,N,1687.9229
625,1116,2019-06-04,O,3674.98
626,1116,2019-06-04,Q,5818.64
627,1116,2019-06-04,T,3728.6921
628,1116,2019-06-05,C,45000.2
629,1116,2019-06-05,D,24625.0
630,1116,2019-06-05,E,3260.7852
631,1116,2019-06-05,L,9906.221
632,1116,2019-06-05,M,1900.0
633,1116,2019-06-05,N,1700.0
634,1116,2019-06-05,Q,6234.665
635,1116,2019-06-05,T,3103.7825
636,1116,2019-06-06,D,30505.0
637,1116,2019-06-06,E,4020.0
638,1116,2019-06-06,N,1729.2958
639,1116,2019-06-06,Q,7182.0
640,1116,2019-06-06,T,6660.07
641,1116,2019-06-06,X,0.0
642,1116,2019-06-07,C,8580.0
643,1116,2019-06-07,D,25861.67
644,1116,2019-06-07,E,3319.8564
645,1116,2019-06-07,L,4840.1577
646,1116,2019-06-07,N,1572.5
647,1116,2019-06-07,Q,6971.2
648,1116,2019-06-07,T,4969.9976
649,1116,2019-06-08,B,27900.0
650,1116,2019-06-08,E,4544.2
651,1116,2019-06-08,J,57750.043
652,1116,2019-06-08,K,7177.5
653,1116,2019-06-08,L,8700.26
654,1116,2019-06-08,M,22920.0
655,1116,2019-06-08,N,1700.0
656,1116,2019-06-08,O,0.0
657,1116,2019-06-08,Q,6566.71
658,1116,2019-06-08,T,2709.6167
659,1116,2019-06-08,X,0.0
660,1116,2019-06-08,Y,5993.53
661,1116,2019-06-09,B,23999.86
662,1116,2019-06-09,C,43537.445
663,1116,2019-06-09,D,22125.0
664,1116,2019-06-09,E,3551.8257
665,1116,2019-06-09,H,5235.67
666,1116,2019-06-09,L,7415.705
667,1116,2019-06-09,N,1870.0
668,1116,2019-06-09,O,0.0
669,1116,2019-06-09,Q,7073.133
670,1116,2019-06-09,T,4700.2153
671,1116,2019-06-10,D,29500.0
672,1116,2019-06-10,L,8700.2
673,1116,2019-06-10,M,1915.0
674,1116,2019-06-10,N,1611.8811
675,1116,2019-06-10,Q,5541.25
676,1116,2019-06-10,T,4987.173
677,1116,2019-06-10,X,0.0
678,1116,2019-06-11,E,3093.0828
679,1116,2019-06-11,N,1700.0
680,1116,2019-06-11,Q,7787.7266
681,1116,2019-06-11,T,4994.0195
682,1116,2019-06-11,X,0.0
683,1116,2019-06-12,D,35400.0
684,1116,2019-06-12,H,10274.853
685,1116,2019-06-12,L,7244.94
686,1116,2019-06-12,M,1885.0
687,1116,2019-06-12,N,2670.48
688,1116,2019-06-12,Q,4689.291
689,1116,2019-06-12,T,5534.821
690,1116,2019-06-12,U,20500.15
691,1116,2019-06-12,X,0.0
692,1116,2019-06-13,D,28216.666
693,1116,2019-06-13,E,3782.9
694,1116,2019-06-13,I,16051.9
695,1116,2019-06-13,L,11520.0
696,1116,2019-06-13,O,0.0
697,1116,2019-06-13,Q,6909.4385
698,1116,2019-06-13,T,5907.377
699,1116,2019-06-13,X,0.0
700,1116,2019-06-14,D,32833.37
701,1116,2019-06-14,E,2839.1433
702,1116,2019-06-14,H,10800.0
703,1116,2019-06-14,L,9599.946
704,1116,2019-06-14,M,1668.3334
705,1116,2019-06-14,N,1350.0
706,1116,2019-06-14,Q,7389.073
707,1116,2019-06-15,C,54000.0
708,1116,2019-06-15,H,12050.205
709,1116,2019-06-15,K,11000.05
710,1116,2019-06-15,L,5963.878
711,1116,2019-06-15,M,1885.0
712,1116,2019-06-15,Q,6190.8125
713,1116,2019-06-15,T,4791.895
714,1116,2019-06-15,U,15000.12
715,1116,2019-06-16,C,61206.66
716,1116,2019-06-16,D,26971.434
717,1116,2019-06-16,E,2384.26
718,1116,2019-06-16,K,15000.0
719,1116,2019-06-16,L,8610.947
720,1116,2019-06-16,N,2384.26
721,1116,2019-06-16,Q,6500.941
722,1116,2019-06-16,T,4958.535
723,1116,2019-06-16,X,0.0
724,1116,2019-06-17,B,23999.844
725,1116,2019-06-17,E,3660.012
726,1116,2019-06-17,L,7982.1416
727,1116,2019-06-17,N,2164.2856
728,1116,2019-06-17,O,0.0
729,1116,2019-06-17,Q,6855.7163
730,1116,2019-06-17,T,5166.7065
731,1116,2019-06-17,X,0.0
